area_id,city_id,area_name
59173,72923,Newtown Mount Kennedy
59188,72940,Stillorgan
34369,21703,Kendenup
59084,68054,Skaftafell
60613,79341,Northop
60700,79459,Fuente De
60705,79471,Huarte
60793,79543,Innfield
60904,16611,Ashmore
60925,9590,Bay Area
60956,70626,Neustift im Stubaital
60685,79596,Denia Old Town
60977,4951,Linkou District
61226,7493,Lara Beach
61232,7233,Airport
61312,2679,Ninh Van Bay
58885,16928,Tanjung Rhu
58886,16928,Rebak Island
58929,4951,Neihu District
58939,12333,Guangming New District
58957,756,Lingya District
59815,75926,Imperia
57642,78905,Pai City Center
58027,2396,Charlois
58030,2396,Kralingen-Crooswijk
58033,2396,Prins Alexander
58132,7169,Bergedorf
58148,7169,Rahlstedt
58436,15847,Nordend
58470,16017,Hadern
58488,16017,Schwabing
61349,7169,Eidelstedt / Lurup
61552,11981,North Adelaide
62086,10779,Waru
62176,16264,Ke Ga Cape
62180,10372,Dandenong
62184,16440,Ba Na Hills
62189,14524,Mid Valley / Bangsar
62229,3987,Jinqiao and Waigaoqiao Pudong
62280,12546,Sawankalok
62277,78905,Thung Yao
66299,87035,Ischgl
66593,87751,Snogebaek
68571,87928,Moraira
78546,98957,Jelsa
79752,8248,Toxteth
79762,3750,Remuera
79772,17234,Seo-gu
79853,7169,Willhelmsburg
80648,6658,Tre_njevka
80649,6658,Martinovka
80650,6658,Stenjevec
80691,3738,Perfume River
80694,17182,Tuan Chau Island
80697,102506,Kirishima
80915,2021,West Bromwich
80917,2021,Smethwick
80924,2021,Oldbury
80928,17402,Mae Haad
91049,102615,Plaine Corail
93391,11980,Sorrento
93394,14524,Rawang
93426,8691,Cibubur
93444,18874,Poblacion
93445,18874,Palangan
93442,18874,Balatero
93478,102461,Bor Saen / Tab Phud
93480,21741,Tanjung Lesung
93521,17026,Saladan
93561,711726,Pamilacan Island
93600,17190,Bai Dau
93609,2679,Hon Tre
93611,16264,Tien Thanh Beach
94104,756,Cianjhen District
94129,18943,Ciumbuleuit
94140,10779,Rungkut
94142,10779,Dukhu Pakis
94149,16842,Sekotong
94150,16842,Lingsar
94151,19438,Minahasa Beach
94152,19438,Samratulangi Airport
94239,7138,Darwin Airport
94248,2051,Belconnen
94251,2051,Forrest
94266,3750,Auckland - East
94536,9466,Newstead
94537,9590,Itami Airport
94634,14524,Kota Damansara
94637,14524,Subang
94639,16919,Ban Phanom
94668,16928,Gunung Raya
94700,14524,Cheras
94710,17172,Sasang-gu
94713,17172,Dongrae-gu
94715,17172,Nam-gu
94724,14690,Sinchon
94744,16611,Currumbin
94736,16919,Ban Vieng Mai Road
94741,1569,Tongzhou District
94832,7835,Slave Island
94852,16264,Suoi Nuoc Beach
94868,2679,Phuoc Long New Town
94870,18875,City Center
94876,18217,Subic Bay
94905,13801,Richmond District
94932,214879,Chaiyaphum City Center
94938,17222,Ao Cho
94966,204074,Shoji-ko / Motosu-ko
95035,16808,Lantau Island
95040,14865,Ban Nai Sa
95051,16223,Tha Muang
95074,7835,Mount Lavinia Beach
103705,11981,Port Adelaide
166244,177626,Noto
124667,196945,Lokken
229236,196478,Glesborg
229269,196536,Hadsund
232938,211729,Rantau Panjang Town
142927,14370,Hunters Hill
279683,18346,Xinyi Township
281133,7835,Colombo Galle face Green
34355,3987,SHA Railway Station Zhabei
34349,16527,Minami
34269,14865,Tub Kaek Beach
35994,18007,Rethymno
35996,18670,Paleokastritsa
35999,18670,Agios Gordios
36038,23114,Omis
36656,15903,Diniwid
36653,15903,Barangay Manoc-Manoc
36654,14865,Koh Klang
36728,14370,Sutherland Shire
36797,18217,Freeport Zone
36802,19476,Town Center
36806,18870,Cavite City
36830,5375,Chiba
47775,18943,Pasteur
47784,7401,Doi Inthanon
47777,19438,Wenang
48375,69032,Dramalj
48776,70023,Korcula
48824,70071,Labin
48845,70092,Langenfeld
79956,7493,Antalya Airport
80514,1784,Kusatsu City
80557,16115,Nan City Center
80558,16115,Nai Wiang
80997,15287,City Center
80998,15287,West Kissimmee
91115,102679,Anapa
30611,17904,Vacy
30914,17379,Puerto de la Cruz
31003,2002,Barcelona Airport
31004,5531,San Sebastian de los Reyes
31071,16928,Langkawi Airport
31179,19542,Meghauli
31204,12080,Beitun District
31232,19556,Malolo Island
31233,19557,Yasawa Island
31410,18670,Gouvia
31195,16808,Hong Kong Island West
31540,19678,Morro De Sao Paulo
31582,19703,Novigrad
33000,2021,Birmingham Airport
61125,16808,Kowloon City
61140,17187,Pangkor Laut Island
61142,7395,Botafogo
61819,79830,Bar
61826,79834,Kotor
69970,7169,Ottensen / Othmarschen
93251,105353,Ubatuba Center
93368,16611,Hinterland
50169,68469,Baska
50441,68625,Bol
51166,70771,Okrug Gornji
51231,70836,Pag
51348,70953,Primosten
52492,72097,Ortsmitte
53600,68709,Brodarica
53849,72635,Blokhus
53862,72648,Hjorring
94007,16919,Phu Vao / Phu Meo
94009,16919,Riverfront
94003,14523,Damai / Santubong
94331,19930,Golden Beach and Pelican Waters
94352,14524,Berjaya Hills
94355,106018,Sepilok
94358,1808,Senai / Airport
94419,3738,Tam Giang Lagoon
94764,17242,Bai Dai Beach
94766,4951,Gongliao District
94783,2085,City Proper
94784,2085,Molo
94785,2085,La Paz
94787,2085,Jaro
94799,4951,Wugu District
94802,12080,Fongyuan District
94808,4064,Harbourfront
54910,73696,Miami Platja
57508,14690,Jongro
57557,21716,Manokwari
59412,75494,Avola
61012,5070,Gaya Island
61019,17222,Ao Wongduan
61046,7395,Barra da Tijuc
57060,3987,Pudong Int'l Airport (PVG)
57067,3987,Baoshan
57056,17234,Nam-gu
57215,78623,Cintsa
57742,4923,Electronic City
58706,18924,Corstorphine
25994,16808,Hung Hom
26342,3241,Kuantan City
26514,16594,Fiumicino Airport
26727,17389,Mango Bay
26730,7401,Mae Rim
26754,9299,Central Mandalay
28320,17236,Sokcho-hang
29183,18396,Sainte-Maxime
29866,18998,Crans Montana
30027,18670,Benitses
30039,18670,Glyfada
30051,5531,Las Rozas
24121,11401,Other
34030,18007,Heraklion
34031,13550,Aeroglen
35902,23036,Orebic
36916,5057,Nadi Bay
36917,5057,Nadi Airport
47666,4682,Koh Mook
47699,17188,Cua Lap
47696,17704,Pratuchai
51906,71511,Sozopol
52018,71623,Sukosan
482910,16607,Cooroy
482912,16607,Noosa North Shore
514736,18218,Maharlika
93424,3241,Gambang
512972,19438,Tikala
512973,19438,Wanea
512974,11981,Richmond
514772,19438,Serai
481679,10757,Lake Mary
481683,17196,Camp John Hay
18006,11314,Tiberias City Center
20467,17190,Dua Beach
23408,8995,Palm Coast
514833,8845,Ghata
3049,3049,Inverness City Center
17374,573,Braunlage
17456,2038,Esbjerg City Center
17765,7233,Khon Kaen City Center
26160,8145,Moab National Park
28851,18064,Bansko
29088,18301,Momi
29095,18308,Qamea
29106,18319,Opatija
29103,18316,Malinska
30294,4951,Sanzhong District
31283,7493,Belek
31278,5531,Pozuelo De Alarcon
31289,19577,Fethiye
31305,9299,Eastern Mandalay
31375,11980,Joondalup
31407,18670,Sidari
33883,17222,Ao Pakarang
19366,16115,Nan Suburbs
20061,7395,Ilha do Governador
21400,2038,Hjerting
22428,5624,Almaty
23041,7719,Gandhi Nagar
23901,10706,Skagen
175379,196548,Hals
175391,196560,Harboore
175411,196606,Hemmet
175472,196719,Hvide Sande
175643,197102,Oksbol
182606,211458,Lenggeng
183268,212719,Sabuk Eup
184344,214542,Muaeng Samut Sakhon
378391,10008,Kandapola
378393,10008,Black Pool
378403,1622,Malabon
378448,16366,Main Island Central
216029,140913,Kappl
216585,10372,Oakleigh
229301,196594,Hejls
244368,11158,Elkaduwa
244376,1622,San Juan
244387,18870,Bacoor
244388,18870,Imus
244390,18870,General Trias
481354,11980,Trigg
481372,9466,Spring Hill
481373,9466,Fortitude Valley
481382,3750,Henderson
481383,7138,Outer Darwin
481677,10757,Disney West Area
481690,11980,Burns Beach
481716,211364,Pengkalan Chepa
481717,211364,Bachok
481718,211364,Pantai Cahaya Bulan (PCB)
481743,11981,Pooraka
481753,11158,Deltota
481758,78905,Mae Hi
481759,78905,Wiang Nuea
481760,78905,Mae Na Toeng
481761,78905,Wiang Tai
481774,3241,Balok
481985,14865,Nuea Klong
481986,2051,Narrabundah
481987,2051,Tuggeranong
482002,6355,Fenghua District
482005,11980,Alexander Heights
482031,11981,Semaphore
482237,16611,Tugun
482239,7219,South Beach
482241,7219,North Beach
482259,20002,Baybay
482286,1063,Clifton
482546,21075,Aamby Valley City
482733,11981,Mawson Lakes
482751,211364,Tok Bali
482763,11980,Henley Brook
482767,7219,Everton
482774,10372,Forest Hill
483039,249498,South- Izu
483041,249498,West-Izu / Dougashima
483069,5375,Funabashi / Narashino
483078,14892,Jiande District
483079,16842,Selebung
483084,19930,Glass House Mountains
483085,16842,Bumbang Beach
483089,11158,Kothmale
483095,17234,Ganghwa-do
483096,17389,June Juea Bay
483137,9466,Brisbane Western Suburbs
483390,10188,Raj Bagh
483396,11067,Mandore
483398,11067,Bhagat
483405,11067,Kayalana Lake
483413,105626,Phatang
483477,11067,Banar
483478,18007,Plakias
483737,15470,Montrouge
483746,7233,Khon Kaen University
483747,7233,Khon Kaen Shopping Center
483772,8845,Chitrakoot
483773,8845,Durgapura
483803,4951,Luzhou District
483804,12080,Xinshe District
483811,2704,Evans Parade
484197,3881,City Center
484511,14130,Kosgoda
484589,10779,Kenjeran
484609,21740,Caringin
484611,21740,Sentul
485706,544698,Liznjan
485759,544751,Vir
490628,666586,Skovby
494001,2085,Santa Barbara
494008,11158,Gampola
494010,11158,Nawalapitiya
494022,6445,Mutrah
494052,21268,Ban Meung Song
494117,16599,Thanlyin
494123,16928,Mukim Kedawang
495740,18913,Bokor Mountain
495744,18910,Phnom Voar
495775,9466,Bowen Hills
495780,11981,West Beach
495794,9466,Ocean View
496219,672515,Bogmalo
496220,672515,Vasco
496225,11304,Colvale
496230,11304,Aldona
496236,102632,Pueu
496259,8691,Kepulauan Seribu
499725,671651,Reserva
499730,8691,Cawang
500622,6445,Seeb
500630,11314,Upper Tiberias
500676,5349,Al Malaz
500690,9846,Kizimkazi
500695,9846,Uroa
500686,694538,Coron Town
502520,16842,Sembalun
502537,11981,Elizabeth
502553,17902,Cattai
502559,2051,Curtin
502560,2051,North West Rural Canberra
503604,9299,Western Mandalay
503611,16932,Kagman
503637,11981,Salisbury
507594,14018,Wonosari
507596,11981,Blackwood
281007,17187,Sitiawan
281033,105938,Buriram City Center
281041,18347,Yongkang District
281044,17379,Los Realejos
281051,102383,Geeveston
281111,6167,Sydenham
281120,17190,Phuoc Hai Beach
281123,3750,Manukau
509301,21740,Ciawi
509302,21740,Ciomas
510423,17188,Cua Duong
510425,17188,Ham Ninh
510428,13170,Cu Chi District
511155,512948,Megamendung
511209,4816,Koh Pich
512736,710859,Salamumu Beach
513131,17188,Duong To
514028,10554,Higashi Hiroshima
514518,7247,Boschjeskop
514546,12722,Manakunnam
515137,1915,Wick
515122,694538,Decalachao
515144,1915,Claverton
515119,78905,Pai Riverside
515148,1915,Midford
378495,6126,Barrigada
378496,6126,Yona
378497,102632,Arue
378569,6126,Dededo
378571,17222,Ao Sangthain
378611,16440,Hoa Minh Bus Station
378681,18871,Siaton
378682,18871,Bacong
378686,5733,Fulbari
378689,18869,West Cagayan De Oro
378690,11768,Holdens Bay
481189,19433,Pong Nam Ron
481209,14130,Ahungalla
481218,19433,Leam Sadej Beach
481395,5085,Jiyugaoka
481443,10008,Pussellawa
481471,19226,Mont Choisy Beach
481492,19226,Anse La Raie
481494,3738,Imperial Citadel
481508,14524,Semenyih
481509,2051,Barton
481553,17163,Iririki Island
481579,18732,Baan Grood Beach
481597,14130,Balapitiya
481605,1808,Kulai Jaya
481630,23740,Albay District
481795,105656,Sounkyo
481815,21676,Laem Pong Lak Uan
481819,21676,Hat Bang Bao
481832,16611,Yatala
481834,105626,Phon Phisai
481850,17904,North Rothbury
481852,17904,Mount View
481874,11977,West District
481880,19625,Way Kambas National Park
481885,9777,Airport Area
481886,11067,Shastri Nagar
482051,6355,Jiangbei District
482184,6445,Ruwi Area
482185,6445,Wadi Kabir Area
482209,79546,Historisches Museum Area
482382,17179,Gampo
482389,18670,Skala
482390,18670,Corfu Town
482410,17245,Thien Ton Town
482431,1915,Bathwick
482565,18878,Magelang Selatan
482566,18878,Magelang Utara
482591,1915,Weston
482690,11981,Modbury
482708,11980,Brigadoon
482824,3435,Kitahiroshima
482828,18824,Aizu-Wakamatsu
482829,102506,Kagoshima Airport
482898,3005,Cantonment
483009,4951,Xinzhuang District
483018,16607,Lake Weyba
483022,4740,Haiduan Township
483156,17019,Khao Yai (Cha-am)
483215,14524,Cyberjaya
483278,3750,Otahuhu
483318,18670,Agios Georgios Pagi
483535,162414,Sulu Sea
483540,17188,Duong Dong
483554,14983,Austin Ferrys
483555,11981,Clovelly Park
483562,9312,Hat Yai Market Area
483593,6167,Governors Bay
483635,7401,Chang Moi
483651,17196,Marcos Highway
483646,17191,Bangsak Beach
483675,16850,Karnala Bird Sanctuary
483690,14523,Kota Padawan
483860,3667,Jaisamand
483880,2566,The Remarkables
483881,14524,Bandar Sunway
483882,14524,One Utama
483886,10372,Sunshine
483890,702243,Chok Chai
483896,702243,Pak Thong Chai
483931,3667,Batera
483932,2566,Gibbston Valley
483933,2566,Lake Hayes
483944,10779,Sidoarjo
483958,16599,West Central Yangon
483959,16599,East Central Yangon
483962,16597,Old Bagan
483968,5070,Tambunan
483981,7719,Postal Colony
483983,7719,Ram Kund
483992,7219,Canelands
484010,1622,Paco
484024,2679,Bai Dong Beach
484053,8691,Tebet
484061,9312,Chalung
484067,16614,Lake St Clair
484080,3750,Buckland's Beach
484083,3750,Avondale
484091,16614,Mount Roland
484102,18869,Upper Cagayan De Oro
484103,18869,East Cagayan De Oro
484116,14018,Wirobrajan
484118,14018,Kota Baru
484212,1037,Beachfront
484215,16932,Wing Beach
484219,17196,Mines View Park
484250,21740,Rancamaya
484260,21740,Tanah Sereal
484307,512948,Cipanas
484336,7835,Kohuwala
484344,7835,Ratmalana Airport
484345,7835,Ruskin Island
484372,17787,Bang Phra
484379,11304,Divar
484384,512864,Bentong Town
484375,17787,Laem Chabang
484448,7219,Kloof
484469,18943,Cimahi Selatan
484642,102464,Damnoen Saduak
484698,19226,Rose Hill
484702,512790,La Plaine des Cafres
484718,18670,Kassiopi
484747,18007,Anissaras
484740,18007,Adelianos Kampos
484741,18007,Agia Galini
484745,18007,Almyrida
484780,4472,Aspire Zone - Sports City
484836,2704,Oriental Parade
484869,3738,Phong Son
485358,14018,Sleman
485360,14018,Prambanan
485379,7395,Downtown Rio de Janeiro
485382,7395,Gavea
485384,7395,Humaita
485386,7395,Leblon
485392,7395,Vidigal
485403,16638,Campo Belo
485412,16638,Moema
485406,16638,Consolacao
485409,16638,Itaim Bibi
485410,16638,Jardim Paulista
485461,12050,Khatt
485464,11980,Warwick
485471,2566,Crown Range
485480,10202,Kidd's Beach
485488,16919,Ban Nasangweiy
491061,667019,Marielyst
493735,15426,Shere
493739,105626,Sri Chiang Mai
493744,17193,Bangli
493785,16928,Kuala Teriang
493808,4234,Wiang Chiang Rung
493814,14552,Manesar
493826,6167,Woolston
493830,217,Ban Chang
493831,217,Map Ta Phut
493834,18871,Valencia
493858,12354,Thandi Sadak
493868,16630,Bahrain International Airport
493872,21268,Ban Houay Ngam
493874,15932,Langbiang Mountain
493908,106017,Seremban 2
494151,5663,Alberton
494155,1491,Langenhoven Park
494505,211364,Wakaf Bharu
494602,10008,Nanuoya
494606,10008,Mandaramnuwara
494607,10008,Thawalantenne
495146,4816,Russey Keo
495202,10779,Sukulilo
495801,21268,Ban Phoudindeng
495802,12050,Wadi Khadeja
495803,14865,Huai Nam Khao
495824,11158,Madulkelle
495916,702288,Catarman
495959,14865,Krabi Noi
495970,17172,Buk-gu
495976,10372,Ferntree Gully
